strain,evolution_history,temperature,fitted,ci_lo,ci_hi
40_F6,40 evolved,15,0.5367311147210647,0.454963351556236,0.6913133523403595
40_F6,40 evolved,15.175879396984925,0.5392940503331131,0.45811338774552,0.6933743516168621
40_F6,40 evolved,15.35175879396985,0.5418660768923056,0.4612813552256234,0.6954389761203135
40_F6,40 evolved,15.527638190954773,0.5444472135866099,0.4644673316705397,0.6972352951108137
40_F6,40 evolved,15.703517587939698,0.5470374796047347,0.4675158067008098,0.698948752278946
40_F6,40 evolved,15.879396984924623,0.5496368941360386,0.47056751286823145,0.7006643321933688
40_F6,40 evolved,16.055276381909547,0.5522454763704537,0.4735847863040422,0.702382033638935
40_F6,40 evolved,16.231155778894472,0.5548632454983903,0.47664289848312785,0.704101855397265
40_F6,40 evolved,16.407035175879397,0.5574902207106593,0.47979921494201105,0.7058237962467641
40_F6,40 evolved,16.582914572864322,0.5601264211983822,0.48290406298956207,0.7075478549626328
40_F6,40 evolved,16.758793969849247,0.5627718661529103,0.48603090233592616,0.7092740303168827
40_F6,40 evolved,16.934673366834172,0.5654265747657331,0.4891741599311079,0.7110023210783455
40_F6,40 evolved,17.110552763819097,0.5680905662284037,0.49233389960192697,0.7127327260126912
40_F6,40 evolved,17.28643216080402,0.5707638597324417,0.49551018531807234,0.7144652438824355
40_F6,40 evolved,17.462311557788944,0.5734464744692604,0.49869105551189935,0.7161998734469586
40_F6,40 evolved,17.63819095477387,0.5761384296300727,0.5018586231279495,0.718064328026668
40_F6,40 evolved,17.814070351758794,0.5788397444058144,0.5050424450660352,0.7200834471660355
40_F6,40 evolved,17.98994974874372,0.5815504379870544,0.508242582604467,0.722105794340838
40_F6,40 evolved,18.165829145728644,0.5842705295639131,0.5114590971510542,0.7241313693259787
40_F6,40 evolved,18.34170854271357,0.5870000383259785,0.5146835296233845,0.726150169682759
40_F6,40 evolved,18.517587939698494,0.5897389834622216,0.5179218182332884,0.72816769772771
40_F6,40 evolved,18.69346733668342,0.5924873841609118,0.5211765466830991,0.7301883971483532
40_F6,40 evolved,18.86934673366834,0.595245259609536,0.5244522728594282,0.73221226764601
40_F6,40 evolved,19.045226130653266,0.5980126289947121,0.5277491433087638,0.734239308915367
40_F6,40 evolved,19.22110552763819,0.6007895115021078,0.5310627349651491,0.7362695206444919
40_F6,40 evolved,19.396984924623116,0.6035759263163538,0.534393109961023,0.7383029025148453
40_F6,40 evolved,19.57286432160804,0.6063718926209676,0.5377403305569607,0.7403394542013022
40_F6,40 evolved,19.748743718592966,0.6091774295982614,0.5411044591415775,0.7423765998558051
40_F6,40 evolved,19.92462311557789,0.6119925564292678,0.5444855582314516,0.7444159379150154
40_F6,40 evolved,20.100502512562812,0.6148172922936496,0.5478836904710284,0.7461402993778627
40_F6,40 evolved,20.276381909547737,0.6176516563696232,0.5512994942995357,0.7475765982954933
40_F6,40 evolved,20.452261306532662,0.6204956678338704,0.5547338380733631,0.7490126153566304
40_F6,40 evolved,20.628140703517587,0.6233493458614632,0.5581854261314625,0.7504496671291695
40_F6,40 evolved,20.804020100502512,0.6262127096257732,0.5616543217791963,0.7518877520892759
40_F6,40 evolved,20.979899497487438,0.629085778298397,0.5651405884499519,0.7533268687134489
40_F6,40 evolved,21.155778894472363,0.631968571049067,0.5686442897050407,0.7547670154785239
40_F6,40 evolved,21.331658291457288,0.6348611070455769,0.572112905397731,0.7562081908616813
40_F6,40 evolved,21.507537688442213,0.6377634054536929,0.5755744427099593,0.7576503933404498
40_F6,40 evolved,21.683417085427138,0.6406754854370791,0.579233343474265,0.7590936213927137
40_F6,40 evolved,21.859296482412063,0.6435973661572072,0.5828240094298364,0.7605378734967151
40_F6,40 evolved,22.035175879396984,0.6465290667732861,0.5864105912309849,0.7619831481310645
40_F6,40 evolved,22.21105527638191,0.6494706064421691,0.5900149336243297,0.7634864915413726
40_F6,40 evolved,22.386934673366834,0.652422004318283,0.5936381615980356,0.7652639944914637
40_F6,40 evolved,22.56281407035176,0.655383279553539,0.5971877221708776,0.767043515159263
40_F6,40 evolved,22.738693467336685,0.6583544512972582,0.6004974682611964,0.7688250521737755
40_F6,40 evolved,22.91457286432161,0.661335538696085,0.6041193823108877,0.7706086041614375
40_F6,40 evolved,23.09045226130653,0.6643265608939118,0.6078229289082304,0.772394169746132
40_F6,40 evolved,23.266331658291456,0.6673275370317951,0.6114037872049484,0.7741817475491981
40_F6,40 evolved,23.44221105527638,0.6703384862478777,0.6150079277785044,0.7759713361894456
40_F6,40 evolved,23.618090452261306,0.6733594276773048,0.6186032145576789,0.7777629342831639
40_F6,40 evolved,23.79396984924623,0.6763903804521492,0.6221810728604042,0.7795565404441369
40_F6,40 evolved,23.969849246231156,0.6794313637013243,0.6257362070268827,0.7813521532836522
40_F6,40 evolved,24.14572864321608,0.682482396550514,0.6293152953558214,0.7830885924503015
40_F6,40 evolved,24.321608040201006,0.6855434981220819,0.6332018008783534,0.784820120661236
40_F6,40 evolved,24.49748743718593,0.6886146875350023,0.6365680364148029,0.7867708320406855
40_F6,40 evolved,24.673366834170857,0.6916959839047719,0.6398925142453925,0.7885912620744407
40_F6,40 evolved,24.84924623115578,0.6947874063433384,0.6432303993227884,0.7904137548180268
40_F6,40 evolved,25.025125628140707,0.6978889739590127,0.6470153256063779,0.7925164282934171
40_F6,40 evolved,25.201005025125628,0.701000705856401,0.651106822462469,0.7947131215090226
40_F6,40 evolved,25.376884422110553,0.704122621136314,0.6552093065566629,0.7969133046243875
40_F6,40 evolved,25.552763819095478,0.7072547388956996,0.6587217742542276,0.79911697753413
40_F6,40 evolved,25.728643216080403,0.7103970782275526,0.6621107767908435,0.8013241401256812
40_F6,40 evolved,25.904522613065325,0.7135496582208476,0.6653815426258388,0.8035318962327017
40_F6,40 evolved,26.08040201005025,0.7167124979604556,0.6689367815734054,0.8057273524441
40_F6,40 evolved,26.256281407035175,0.7198856165270632,0.6723721653578189,0.8079262301017343
40_F6,40 evolved,26.4321608040201,0.723069032997097,0.6764145903671026,0.8100443171013475
