strain,evolution_history,topt,tmax,rmax,b80,th,th_c,r2,se_topt,se_tmax,se_rmax,se_b80,se_th,n_obs,n_boot_ok,n_total_iter
40_F6,40 evolved,39.8308566146041,42.26581393450776,NA,10.836083608360841,314.49175327005435,41.34175327005437,0.9565253019966143,0.15729483294173321,0.15132780432191367,NA,2.939465544391027,0.06849199570014447,15,1000,1174
35_G11,35 evolved,38.42613733909362,42.50956420209045,NA,11.303630363036305,313.95449701306245,40.80449701306247,0.8943509364757822,0.8876077914592165,0.6173949860534393,NA,4.591624096602363,0.3026720402079579,15,1000,1174
35_D8,35 evolved,39.18227104743245,42.22997898389297,NA,10.66556655665567,314.16888855374765,41.01888855374767,0.931770855036045,0.4468282176529094,0.3653257626135031,NA,3.419851994137971,0.10648560562787612,15,1000,1200
40_G5,40 evolved,39.48807127105073,42.32014436658625,NA,9.301430143014304,314.33007421432796,41.18007421432799,0.9736171861352181,0.16307021473895225,0.15141036009566336,NA,1.0538737480441205,0.04866109942709308,15,1000,1151
35_E9,35 evolved,39.15355486123553,42.10931916289841,NA,10.907590759075909,314.0972451295415,40.9472451295415,0.9789478052137509,0.28473299909494476,0.19792384972813717,NA,1.4780003125332486,0.05511103192210251,15,1000,1210
40_B6,40 evolved,40.087281199920874,42.09458806062408,NA,9.647964796479645,314.49322094862515,41.343220948625174,0.9615218472325767,0.13972538882225133,0.14896577063346403,NA,1.9846952601475039,0.06808113759758379,15,1000,1191
fRS585,fRS585,39.444534745161945,42.17846364369533,NA,10.962596259625965,314.27066811868343,41.120668118683454,0.9822089813423679,0.0889045786576257,0.07806282660397311,NA,0.735655729671506,0.02194638651846379,45,1000,1126
40_E9,40 evolved,39.84641683647135,42.29024410229519,NA,8.927392739273927,314.4772627887721,41.327262788772146,0.9766083583969152,0.11069760597045745,0.1099102168220799,NA,0.9526862362459274,0.048324242183325754,15,1000,1110
40_G11,40 evolved,38.99365342736972,43.61725686722371,NA,11.023102310231021,314.7680766582916,41.61807665829161,0.8427640444246327,0.5229931713321143,0.6287791718410111,NA,3.2276989936792315,0.17425058915710542,15,1000,1156
35_E11,35 evolved,39.296857253333265,42.13665635656671,NA,11.265126512651268,314.1856261039773,41.035626103977336,0.9881578477205052,0.16798865303564195,0.1345799852712891,NA,1.1329604276546843,0.03277564707533907,15,1000,1128
40_D2,40 evolved,38.987695876896424,42.86354793486461,NA,10.583058305830587,314.3901855260868,41.240185526086805,0.9396562812263136,0.3085181678764775,0.2915723381983967,NA,2.4289493089532384,0.09117029106860511,15,1000,1176
40_E11,40 evolved,39.82859492631392,42.33805596091012,NA,11.061606160616062,314.5340405966944,41.38404059669443,0.9937655308324357,0.05843282765544297,0.05097576596276887,NA,0.7407036014067077,0.025468367432079596,15,1000,1106
35_D2,35 evolved,39.159008637159744,42.0672270505382,NA,11.397139713971399,314.0870516409873,40.937051640987306,0.9925607510492149,0.17939024459870662,0.12713721378407578,NA,0.950783501663621,0.029650532338260715,15,1000,1120
40_G9,40 evolved,39.10313402540726,43.57515291030712,NA,12.222222222222225,314.85251582416043,41.70251582416046,0.8998236068885491,0.3489399031706835,0.3615908342773837,NA,2.563614801627909,0.10445417436098942,15,1000,1162
35_B2,35 evolved,39.52606833476089,42.09290768456821,NA,9.730473047304734,314.2388807359738,41.08888073597382,0.9860561049427774,0.14511603680008384,0.1285483433031716,NA,0.8975700724948307,0.031939363717148776,15,1000,1155
40_C5,40 evolved,39.74704408041517,42.37071547399819,NA,9.741474147414742,314.4902418653403,41.34024186534032,0.98503895418619,0.0897114034478345,0.08493945845346672,NA,0.870907069395436,0.038284183372019213,15,1000,1109
35_B8,35 evolved,38.56891807104982,42.416603826026346,NA,12.007700770077008,314.0013349048028,40.8513349048028,0.9636834353276779,0.4938731414550433,0.33383309753220874,NA,2.5952187650079357,0.1256072532810947,15,1000,1192
35_C7,35 evolved,38.86600407562137,42.47742668923431,NA,10.896589658965897,314.14768413302005,40.99768413302007,0.9395756242864238,0.49003390123124446,0.3750848852253641,NA,2.8005709996319745,0.13629823394905008,15,1000,1196
35_G5,35 evolved,38.33946679874666,42.244493330104525,NA,12.084708470847083,313.80320201996796,40.65320201996798,0.9766908055663724,0.5309508447005428,0.29786019051399604,NA,1.909772410531178,0.15039383343359664,15,1000,1141
40_B2,40 evolved,38.80530015759742,43.89247304043075,NA,10.489548954895493,314.7609262897233,41.610926289723295,0.9082146361105524,0.3850590874659136,0.46439183807004347,NA,1.5885559757942889,0.11606793222714656,15,1000,1170
40_E7,40 evolved,39.879838413249516,42.181761160445085,NA,10.68206820682068,314.46471501333065,41.31471501333067,0.9945668229253125,0.05388917101649252,0.057181928007933105,NA,0.6750342371679894,0.023956138405922575,15,1000,1109
40_C7,40 evolved,39.49101392117706,42.41101109335111,NA,12.986798679867992,314.45312543846546,41.303125438465486,0.9821752348309607,0.11766732787201238,0.09516861106303176,NA,1.6770177104858208,0.042278708174475044,15,1000,1100
35_C9,35 evolved,39.42934286882722,42.074300442918464,NA,10.016501650165015,314.1894494806503,41.03944948065032,0.9533614177670304,0.2891485670337827,0.2182349260306702,NA,1.9754816014180663,0.07293816117080683,15,1000,1253
