chrom_label,chrom,start,end,normalized_depth,CNV,gene_name,gene_start,gene_end,gene_overlap_in_controls_count,partially_overlaps_control
ChrG,contig_19,329001,329500,1.5641141789932584,duplication,CAGL0G06974g,329006.0,329467.0,0,False
ChrG,contig_19,329501,330000,1.547090741504987,duplication,CAGL0G06952g,329705.0,332067.0,0,False
ChrG,contig_19,336001,336500,1.5108532824241738,duplication,CAGL0G06886g,335597.0,338115.0,0,False
ChrG,contig_19,340001,340500,1.5149559865516633,duplication,CAGL0G06864g,338275.0,340995.0,0,False
ChrG,contig_19,343501,344000,1.7500167995031273,duplication,CAGL0G06842g,341565.0,344814.0,0,False
ChrG,contig_19,344001,344500,1.5408531460894372,duplication,CAGL0G06842g,341565.0,344814.0,0,False
ChrG,contig_19,346501,347000,1.5300487397446456,duplication,CAGL0G06820g,345019.0,347819.0,0,False
ChrG,contig_19,346501,347000,1.5300487397446456,duplication,CAGL0G06798g,346113.0,347055.0,0,False
ChrG,contig_19,347501,348000,1.5363605922484758,duplication,CAGL0G06820g,345019.0,347819.0,0,False
ChrG,contig_19,347501,348000,1.5363605922484758,duplication,CAGL0G06776g,347263.0,348175.0,0,False
ChrG,contig_19,350501,351000,1.5940397855702415,duplication,CAGL0G06732g,349784.0,352725.0,0,False
ChrG,contig_19,351001,351500,1.614460484847339,duplication,CAGL0G06732g,349784.0,352725.0,0,False
ChrG,contig_19,351501,352000,1.7180676872705043,duplication,CAGL0G06732g,349784.0,352725.0,0,False
ChrG,contig_19,352001,352500,1.6362920688017637,duplication,CAGL0G06732g,349784.0,352725.0,0,False
ChrG,contig_19,353501,354000,1.5390895402427789,duplication,CAGL0G06688g,352925.0,355748.0,0,False
ChrG,contig_19,354001,354500,1.5494298397858182,duplication,CAGL0G06688g,352925.0,355748.0,0,False
ChrG,contig_19,357501,358000,1.5575981194966575,duplication,CAGL0G06666g,355965.0,360512.0,0,False
ChrG,contig_19,358501,359000,1.5365647992412466,duplication,CAGL0G06666g,355965.0,360512.0,0,False
ChrG,contig_19,359501,360000,1.526540092323399,duplication,CAGL0G06666g,355965.0,360512.0,0,False
ChrG,contig_19,360001,360500,1.5840522071965335,duplication,CAGL0G06666g,355965.0,360512.0,0,False
ChrG,contig_19,361001,361500,1.568439654385589,duplication,CAGL0G06644g,360921.0,361271.0,0,False
ChrG,contig_19,361501,362000,1.5371217274033493,duplication,CAGL0G06622g,361605.0,363955.0,0,False
ChrG,contig_19,376001,376500,1.5346341149459577,duplication,CAGL0G06402g,374803.0,376985.0,0,False
ChrG,contig_19,378001,378500,1.5936870644009098,duplication,CAGL0G06380g,378054.0,380435.0,0,False
ChrG,contig_19,378501,379000,1.566750305627211,duplication,CAGL0G06380g,378054.0,380435.0,0,False
ChrG,contig_19,379501,380000,1.582399986982296,duplication,CAGL0G06380g,378054.0,380435.0,0,False
ChrG,contig_19,398501,399000,1.542969473105427,duplication,CAGL0G06248g,397861.0,399230.0,0,False
ChrG,contig_19,405501,406000,1.5517689380666495,duplication,CAGL0G06182g,404183.0,407902.0,0,False
ChrG,contig_19,409001,409500,1.5330932803641402,duplication,CAGL0G06138g,407732.0,410491.0,0,False
ChrG,contig_19,409501,410000,1.60419444239258,duplication,CAGL0G06138g,407732.0,410491.0,0,False
ChrG,contig_19,412501,413000,1.585908634403543,duplication,CAGL0G06072g,412052.0,414510.0,0,False
ChrG,contig_19,413001,413500,1.639299480877118,duplication,CAGL0G06072g,412052.0,414510.0,0,False
ChrG,contig_19,413501,414000,1.5301044325608557,duplication,CAGL0G06072g,412052.0,414510.0,0,False
ChrG,contig_19,413501,414000,1.5301044325608557,duplication,CAGL0G06050g,413558.0,414916.0,0,False
ChrG,contig_19,415501,416000,1.506694885480474,duplication,CAGL0G06028g,414556.0,417147.0,0,False
ChrG,contig_19,416001,416500,1.5011812966756577,duplication,CAGL0G06028g,414556.0,417147.0,0,False
ChrG,contig_19,416501,417000,1.672362449433946,duplication,CAGL0G06028g,414556.0,417147.0,0,False
ChrG,contig_19,416501,417000,1.672362449433946,duplication,CAGL0G06006g,416351.0,417251.0,0,False
ChrG,contig_19,417001,417500,1.5620906733376188,duplication,CAGL0G06006g,416351.0,417251.0,0,False
ChrG,contig_19,418001,418500,1.5423939806712543,duplication,CAGL0G05984g,417825.0,419084.0,0,False
ChrG,contig_19,422501,423000,1.561663695080007,duplication,CAGL0G05940g,422194.0,426370.0,0,False
ChrG,contig_19,424001,424500,1.5249621291974411,duplication,CAGL0G05940g,422194.0,426370.0,0,False
ChrG,contig_19,431001,431500,1.5481489050129822,duplication,CAGL0G05852g,428896.0,431318.0,0,False
ChrG,contig_19,431001,431500,1.5481489050129822,duplication,CAGL0G05830g,430513.0,434010.0,0,False
ChrG,contig_19,431501,432000,1.5459026280925012,duplication,CAGL0G05830g,430513.0,434010.0,0,False
ChrG,contig_19,432501,433000,1.624466627493117,duplication,CAGL0G05830g,430513.0,434010.0,0,False
ChrG,contig_19,433001,433500,1.54980112522722,duplication,CAGL0G05830g,430513.0,434010.0,0,False
ChrG,contig_19,458001,458500,1.5739161146462652,duplication,CAGL0G05632g,457439.0,458735.0,0,False
ChrG,contig_19,461001,461500,1.5463667348942536,duplication,CAGL0G05610g,460973.0,461645.0,0,False
ChrG,contig_19,464001,464500,1.568179754576608,duplication,CAGL0G05588g,461845.0,465441.0,0,False
ChrG,contig_19,484001,484500,1.5295475043987532,duplication,CAGL0G05423g,482805.0,484921.0,0,False
ChrG,contig_19,497501,498000,1.5216762530410357,duplication,CAGL0G05313g,496600.0,498885.0,0,False
ChrG,contig_19,511501,512000,1.533965801151434,duplication,CAGL0G05093g,510014.0,512640.0,0,False
ChrG,contig_19,512001,512500,1.5087183911361135,duplication,CAGL0G05093g,510014.0,512640.0,0,False
ChrG,contig_19,525501,526000,1.5897143101779108,duplication,CAGL0G04895g,524779.0,525829.0,0,False
ChrG,contig_19,527001,527500,1.515308707720995,duplication,CAGL0G04873g,526815.0,531133.0,0,False
ChrB,contig_26,5501,6000,1.8379186277549973,duplication,CAGL0B05061g,5296.0,11991.0,0,False
