strain,evo_history,T_opt_C,CT_max_C
35_B2,35°C Evolved,39.216843368673736,41.89737947589518
35_B6,35°C Evolved,36.90638127625525,41.81736347269454
35_B8,35°C Evolved,38.406681336267255,42.15743148629726
35_C5,35°C Evolved,38.446689337867575,42.227445489097825
35_C7,35°C Evolved,38.55671134226846,42.17743548709742
35_C9,35°C Evolved,39.216843368673736,41.91738347669534
35_D2,35°C Evolved,38.816763352670534,41.87737547509502
35_D4,35°C Evolved,38.25665133026605,41.8873774754951
35_D8,35°C Evolved,38.95679135827166,42.027405481096224
35_E11,35°C Evolved,39.186837367473494,41.96739347869574
35_E7,35°C Evolved,39.02680536107221,41.85737147429486
35_E9,35°C Evolved,38.806761352270456,41.87737547509502
35_F2,35°C Evolved,39.386877375475095,41.92738547709542
35_F4,35°C Evolved,38.71674334866974,41.64732946589318
35_F6,35°C Evolved,38.806761352270456,41.49729945989198
35_G11,35°C Evolved,38.49669933986797,42.227445489097825
35_G5,35°C Evolved,38.326665333066614,41.77735547109422
35_G9,35°C Evolved,37.04640928185637,42.04740948189638
40_B2,40°C Evolved,38.8867773554711,43.29765953190638
40_B6,40°C Evolved,40.447089417883575,41.95739147829566
40_B8,40°C Evolved,39.956991398279655,42.32746549309862
40_C5,40°C Evolved,39.716943388677734,42.24744948989798
40_C7,40°C Evolved,39.60692138427686,42.1374274854971
40_C9,40°C Evolved,39.64692938587718,41.987397479495904
40_D2,40°C Evolved,39.07681536307262,42.397479495899184
40_D4,40°C Evolved,39.106821364272854,43.14762952590518
40_D8,40°C Evolved,39.7369473894779,41.947389477895584
40_E11,40°C Evolved,39.81696339267854,42.067413482696544
40_E7,40°C Evolved,39.94698939787958,41.91738347669534
40_E9,40°C Evolved,39.796959391878374,42.01740348069614
40_F2,40°C Evolved,39.9369873974795,42.15743148629726
40_F4,40°C Evolved,39.44688937787558,42.62752550510102
40_F6,40°C Evolved,40.077015403080615,41.96739347869574
40_G11,40°C Evolved,38.606721344268855,43.47769553910782
40_G5,40°C Evolved,39.55691138227645,42.1374274854971
40_G9,40°C Evolved,39.69693938787758,42.7375475095019
fRS585 (YL07),Ancestor,39.11682336467294,42.0374074814963
