strain,evo_history,r_tref,e,eh,th,topt,ctmax,rmax,r2
35_B2,35°C Evolved,1.8148107893498906,0.4624631976991297,22.10878055291569,313.8362702951831,39.216843368673736,41.89737947589518,7.528818778949543,0.9950145966602135
35_B6,35°C Evolved,1.784420043714478,0.5018438961717173,10.862320045014293,312.3846395496864,36.90638127625525,41.81736347269454,7.098204911145349,0.9995892777050699
35_B8,35°C Evolved,2.0867156215396254,0.39097767213023255,15.353676799158249,313.55065490501664,38.406681336267255,42.15743148629726,6.636176483267588,0.9992210766139612
35_C5,35°C Evolved,2.0785191837504633,0.39486197090632763,15.195207831666847,313.60242337964434,38.446689337867575,42.227445489097825,6.69788288081226,0.9995299223692006
35_C7,35°C Evolved,1.9600786259676852,0.42837691893523494,15.812175876263403,313.61934829740034,38.55671134226846,42.17743548709742,7.025442721767527,0.9947620510254299
35_C9,35°C Evolved,1.878137199618917,0.4176412381561661,22.17688459923345,313.87020279616564,39.216843368673736,41.91738347669534,6.7875961059250995,0.9979107245721865
35_D2,35°C Evolved,2.137601190507145,0.3809234852684181,19.47109449756136,313.66602597859816,38.816763352670534,41.87737547509502,6.761754261683202,0.9993940027946997
35_D4,35°C Evolved,2.0860413882732707,0.39647012515438984,15.883887952240258,313.34246845904477,38.25665133026605,41.8873774754951,6.700790612102556,0.9985890651134257
35_D8,35°C Evolved,2.073830916911224,0.38583224310100944,19.41072696136582,313.80557539618667,38.95679135827166,42.027405481096224,6.700616699880916,0.9975584675203697
35_E11,35°C Evolved,2.1469272165122995,0.3761461207111702,21.73893889473375,313.9024037624658,39.186837367473494,41.96739347869574,6.817216459719837,0.9999283775981717
35_E7,35°C Evolved,1.9520409794975906,0.4259224378968987,20.996978678039525,313.7357781835525,39.02680536107221,41.85737147429486,7.16055429706601,0.9997600110103575
35_E9,35°C Evolved,2.0168697978388455,0.41248736238180106,19.15315346645763,313.6343239211512,38.806761352270456,41.87737547509502,7.010330626534045,0.9988145718829716
35_F2,35°C Evolved,1.769134947076411,0.46949954122053933,23.438071615238176,313.9376922227744,39.386877375475095,41.92738547709542,7.579718130913013,0.984968572561192
35_F4,35°C Evolved,1.4442194393576189,0.582662165238906,19.267711160530045,313.3863060113208,38.71674334866974,41.64732946589318,8.344449315606013,0.9638503480034475
35_F6,35°C Evolved,1.8241399277309651,0.46149147732719187,21.86285478125017,313.4335284453282,38.806761352270456,41.49729945989198,7.374313182320832,0.992136094636482
35_G11,35°C Evolved,2.037445496168307,0.3932437098649642,15.469842305979014,313.6333231930117,38.49669933986797,42.227445489097825,6.553729462910895,0.9996029662897886
35_G5,35°C Evolved,2.03185216464558,0.4190475036882318,16.71438533555301,313.3165658226145,38.326665333066614,41.77735547109422,7.009879733874915,0.9986094961055868
35_G9,35°C Evolved,1.9086778261984192,0.46923333346675533,10.73584743807854,312.5980668450934,37.04640928185637,42.04740948189638,6.992197213131453,0.9995901452446087
40_B2,40°C Evolved,2.1376699118460407,0.38604309842456525,12.875139432686446,314.31995720265104,38.8867773554711,43.29765953190638,6.8172189209102445,0.9872433348952804
40_B6,40°C Evolved,2.2517814367548086,0.3288429799022048,44.97417857808961,314.52816933961395,40.447089417883575,41.95739147829566,6.547851531943717,0.9997651180930303
40_B8,40°C Evolved,2.1473109522335916,0.35705414809039926,26.41135979061982,314.4847308052291,39.956991398279655,42.32746549309862,6.664094117682415,0.9965391802713841
40_C5,40°C Evolved,2.3157653558846323,0.32287754165674004,24.931938509718336,314.3431902786877,39.716943388677734,42.24744948989798,6.385868567454201,0.9996939512530972
40_C7,40°C Evolved,2.465478516354568,0.32073477624214347,24.891398236683123,314.2343359168225,39.60692138427686,42.1374274854971,6.724268563924553,0.9941040618156951
40_C9,40°C Evolved,1.550583304467964,0.5562341057249014,25.234415520633384,314.0717941105245,39.64692938587718,41.987397479495904,8.86044647140438,0.9835305192486831
40_D2,40°C Evolved,2.1967125617314798,0.34942180343178797,17.983263119568694,314.06877705749184,39.07681536307262,42.397479495899184,6.3754725172917945,0.9989783467402695
40_D4,40°C Evolved,2.2380364202300562,0.3619321003812157,14.360574791968158,314.40743544179276,39.106821364272854,43.14762952590518,6.721028481750489,0.9999566692175759
40_D8,40°C Evolved,2.2758751743080303,0.3554146907817224,28.620075831292727,314.1862048361306,39.7369473894779,41.947389477895584,6.97030869002495,0.9986203049623394
40_E11,40°C Evolved,2.248144340856391,0.3746707906468733,27.881182587511116,314.2773444152988,39.81696339267854,42.067413482696544,7.339388867106983,0.9912500627532048
40_E7,40°C Evolved,2.1003302587101276,0.39909373481158966,32.13574410080109,314.25580508173005,39.94698939787958,41.91738347669534,7.466469626609439,0.9999709128604145
40_E9,40°C Evolved,2.0038482268330577,0.37684000949495244,28.176307621935194,314.239138942511,39.796959391878374,42.01740348069614,6.580206242334309,0.9999049276956485
40_F2,40°C Evolved,2.4081055802871787,0.39113468229486803,28.06042540801397,314.37123717461594,39.9369873974795,42.15743148629726,8.325175972879158,0.9304587245220799
40_F4,40°C Evolved,2.36523003612503,0.328162282215429,19.129892179377975,314.38822915177525,39.44688937787558,42.62752550510102,6.534539356382921,0.9994295083767635
40_F6,40°C Evolved,2.2637873880999693,0.4169089563784147,33.52101253386638,314.33354407022915,40.077015403080615,41.96739347869574,8.573680108118904,0.9588988715084502
40_G11,40°C Evolved,2.23639410173334,0.4232435866385205,11.350247558778065,314.17370352351253,38.606721344268855,43.47769553910782,7.826490380961715,0.9433117507853613
40_G5,40°C Evolved,2.3516177928841535,0.34785589452860927,24.078269466624256,314.1922695274208,39.55691138227645,42.1374274854971,6.963649789691305,0.9878748988336937
40_G9,40°C Evolved,2.227612888755179,0.40441427370143557,19.592987839618417,314.51949570189146,39.69693938787758,42.7375475095019,7.89239796132033,0.9947372547468148
fRS585 (YL07),Ancestor,2.1053208285949108,0.3850685527187886,20.53260599950553,313.89125890327205,39.11682336467294,42.0374074814963,6.841822498045037,0.9916302496881724
