chrom,start,end,depth,normalized_depth,chromosome
contig_10,1,500,63.04,0.61339356359644,ChrK
contig_10,501,1000,116.72,1.135712194526911,ChrK
contig_10,1001,1500,113.074,1.1002357837897185,ChrK
contig_10,1501,2000,120.83,1.1757034309860064,ChrK
contig_10,2001,2500,103.236,1.004509802211962,ChrK
contig_10,2501,3000,109.704,1.0674449159388302,ChrK
contig_10,3001,3500,95.246,0.9267652816990248,ChrK
contig_10,3501,4000,92.762,0.902595395722287,ChrK
contig_10,4001,4500,86.596,0.842598810805795,ChrK
contig_10,4501,5000,108.714,1.0578119903683911,ChrK
contig_10,5001,5500,150.45,1.4639127798712626,ChrK
contig_10,5501,6000,121.046,1.177805160201375,ChrK
contig_10,6001,6500,104.728,1.0190273021625629,ChrK
contig_10,6501,7000,89.394,0.8698239883270965,ChrK
contig_10,7001,7500,83.266,0.8101971520688639,ChrK
contig_10,7501,8000,81.842,0.7963413076119898,ChrK
contig_10,8001,8500,79.656,0.7750710295342327,ChrK
contig_10,8501,9000,82.976,0.8073753859926746,ChrK
contig_10,9001,9500,85.56,0.8325182947543054,ChrK
contig_10,9501,10000,73.062,0.7109099070983994,ChrK
contig_10,10001,10500,64.346,0.6261012411671404,ChrK
contig_10,10501,11000,75.79,0.7374539686702759,ChrK
contig_10,11001,11500,84.894,0.8260379630069191,ChrK
contig_10,11501,12000,87.53,0.8516868436166941,ChrK
contig_10,12001,12500,89.572,0.8715559688842057,ChrK
contig_10,12501,13000,76.572,0.7450630068481378,ChrK
contig_10,13001,13500,80.444,0.7827384490791882,ChrK
contig_10,13501,14000,76.796,0.7472425778862978,ChrK
contig_10,14001,14500,84.39,0.8211339281710592,ChrK
contig_10,14501,15000,87.73,0.8536328891864797,ChrK
contig_10,15001,15500,85.328,0.830260881893354,ChrK
contig_10,15501,16000,74.074,0.7207568976815149,ChrK
contig_10,16001,16500,85.714,0.8340167498430403,ChrK
contig_10,16501,17000,85.308,0.8300662773363755,ChrK
contig_10,17001,17500,84.468,0.8218928859432757,ChrK
contig_10,17501,18000,85.996,0.8367606740964381,ChrK
contig_10,18001,18500,82.932,0.8069472559673218,ChrK
contig_10,18501,19000,86.812,0.8447005400211636,ChrK
contig_10,19001,19500,73.31,0.7133230036049336,ChrK
contig_10,19501,20000,69.946,0.6805905171211388,ChrK
contig_10,20001,20500,65.398,0.636337440864213,ChrK
contig_10,20501,21000,81.708,0.7950374570802335,ChrK
contig_10,21001,21500,81.61,0.7940838947510386,ChrK
contig_10,21501,22000,84.658,0.823741629234572,ChrK
contig_10,22001,22500,76.974,0.748974558443407,ChrK
contig_10,22501,23000,81.86,0.7965164517132706,ChrK
contig_10,23001,23500,73.216,0.7124083621871343,ChrK
contig_10,23501,24000,70.1,0.6820889722098737,ChrK
contig_10,24001,24500,76.328,0.7426888312529993,ChrK
contig_10,24501,25000,73.038,0.7106763816300251,ChrK
contig_10,25001,25500,81.69,0.7948623129789528,ChrK
contig_10,25501,26000,83.218,0.8097301011321153,ChrK
contig_10,26001,26500,70.04,0.6815051585389381,ChrK
contig_10,26501,27000,88.894,0.8649588744026323,ChrK
contig_10,27001,27500,86.376,0.8404581606790309,ChrK
contig_10,27501,28000,82.64,0.8041060294354346,ChrK
contig_10,28001,28500,75.822,0.7377653359614416,ChrK
contig_10,28501,29000,68.944,0.6708408288165127,ChrK
contig_10,29001,29500,72.022,0.7007904701355141,ChrK
contig_10,29501,30000,85.512,0.8320512438175568,ChrK
contig_10,30001,30500,92.138,0.8965237335445557,ChrK
contig_10,30501,31000,85.71,0.8339778289316445,ChrK
contig_10,31001,31500,73.408,0.7142765659341286,ChrK
contig_10,31501,32000,79.85,0.7769586937369247,ChrK
contig_10,32001,32500,83.564,0.8130967599678444,ChrK
contig_10,32501,33000,73.988,0.719920098086507,ChrK
contig_10,33001,33500,85.046,0.8275169576399563,ChrK
