well,block,test_temperature,strain,evolution_history,k,n0,r,t_mid,t_gen,sigma,note,mu
b10,3,25,40_F6,40 evolved,1.392823786316655,0.005704627473869644,10.936126141889815,0.502344849863054,0.06338141784090341,0.0284113497442154,,3.808024155145881
b10,3,35,40_F6,40 evolved,1.3280807247084856,0.004688709021088979,18.592685529649344,0.30349548680533295,0.037280638101182255,0.01586781500298654,,6.173146818123419
b10,3,38,40_F6,40 evolved,1.2612064534120784,4.0115809796332613e-4,27.40719275426451,0.2938245321721447,0.025290703311892197,0.06742391903954782,,8.641532092896789
b10,3,41,40_F6,40 evolved,1.2127659883487194,0.001717724122974915,17.707383593072006,0.37036761150019315,0.03914452843451917,0.024382093242500607,,5.368728141080467
b10,3,42,40_F6,40 evolved,0.6058965226376531,0.041119869499507605,3.4862769610445477,0.7515005062983087,0.1988216049112365,0.026238307593197913,,0.5280807719121641
b11,1,25,35_G11,35 evolved,1.4120055721524547,0.006564824649925371,10.901666055008318,0.4922532397547949,0.06358176604038496,0.02851649010136046,,3.848303303854254
b11,1,35,35_G11,35 evolved,1.2371765899007072,0.004139841684478652,18.83279401799518,0.30248181733104307,0.036805329039208246,0.013126315553974977,,5.824872970371429
b11,1,38,35_G11,35 evolved,1.3124250650402265,0.0022890559688074903,21.28316957386028,0.29834591697502766,0.032567854997089335,0.009184573200790656,,6.983141303058937
b11,1,41,35_G11,35 evolved,1.2668126726273579,0.0027427281469125705,14.623866305348468,0.41939242891292255,0.04739835321842601,0.02722341350383731,,4.631424789605915
b11,1,42,35_G11,35 evolved,0.1768645166379851,0.003314745299877249,17.683758173429403,0.22382593099627446,0.039196825344593796,0.011057440282982311,,0.7819073354216525
b11,2,25,35_D8,35 evolved,1.4207346412585264,0.0051624524560836375,10.908012407623586,0.5146563043290407,0.06354477375507074,0.027701210610083023,,3.8743477736971625
b11,2,35,35_D8,35 evolved,1.3106162061619215,0.0036988055449559813,18.83912031259173,0.31144854296464275,0.03679296957919304,0.014272315720060078,,6.1727140978792425
b11,2,38,35_D8,35 evolved,1.340621726368069,0.002442644410762901,21.09461219066654,0.2989381264942925,0.03285896769728875,0.009401910244302132,,7.069973853029072
b11,2,41,35_D8,35 evolved,1.2397199601229634,0.0020401699870536113,15.78741623455383,0.405890396647145,0.04390504248838755,0.02816197065599052,,4.892993756186424
b11,2,42,35_D8,35 evolved,0.11780906857395264,0.0036206160155377197,16.17937560601863,0.2133089730283684,0.04284140485014135,0.008807742841614242,,0.47651929256329634
b11,3,25,40_G5,40 evolved,1.393284911107297,0.003456065162776485,10.987950083577605,0.5457619605824311,0.06308248356496547,0.01954328652794055,,3.8273362638622097
b11,3,35,40_G5,40 evolved,1.3314956217950311,0.003508649690045207,17.740585549499382,0.3346106160641559,0.039071268455369845,0.011384347378285526,,5.905377996809656
b11,3,38,40_G5,40 evolved,1.3497858577270752,0.0025931431859770914,19.861952194081613,0.31481837481477676,0.03489824030321081,0.011104660225639704,,6.702345544605653
b11,3,41,40_G5,40 evolved,1.2202557698278615,0.0013824160035335975,16.408763757567698,0.41330654978965226,0.04224249863066417,0.026736807328480928,,5.0057221627285715
b11,3,42,40_G5,40 evolved,1.2413927509462983,0.036879147513630854,3.0241925051873686,1.152765515611933,0.2292007467682684,0.023115730627314725,,0.9385526633514313
b2,2,25,35_E9,35 evolved,1.4051244803210128,0.005144771434952273,11.207001342383634,0.5002437232730207,0.061849477784796866,0.026722023512945524,,3.936807984293424
b2,2,35,35_E9,35 evolved,1.3270564537262985,0.00476371905398863,18.711467721120158,0.3006762396140206,0.03704397703540758,0.03338587827043618,,6.207793499500956
b2,2,38,35_E9,35 evolved,1.2998921288256111,8.019205973828059e-4,25.262449608173103,0.2925355717683916,0.02743784515400648,0.03888863610747745,,8.209614850129466
b2,2,41,35_E9,35 evolved,1.1577021773634335,0.017014931518061327,7.6792449639918905,0.5476182806452846,0.09026241301197242,0.02190179593563787,,2.2225696538301483
b2,2,42,35_E9,35 evolved,0.08593015512442181,0.004374367079588428,15.264020433239773,0.1916615267212194,0.04541052493945237,0.00800421085130885,,0.3279099109126595
b2,3,25,40_B6,40 evolved,1.2891933444986337,0.002960561038379221,10.991182547675454,0.5526333572641711,0.06306393125155949,0.017633774383458582,,3.5424398471581826
b2,3,35,40_B6,40 evolved,1.2556584929784336,0.0031706616624599944,17.715544907140586,0.33749720126016297,0.039126495074986896,0.010880502549908617,,5.561168605097978
b2,3,38,40_B6,40 evolved,1.3161817160208058,0.0026074771677610095,19.95648509290895,0.31178456260964227,0.03473292903699952,0.012905172372506723,,6.566590198832133
b2,3,41,40_B6,40 evolved,1.6065804600647544,3.2162420287038145e-5,25.564713455275903,0.4231926886544492,0.027113434374008108,0.11156767021359865,,10.267942276100195
b2,3,42,40_B6,40 evolved,0.09427110605800547,0.004410125780589052,12.358049385875196,0.24391880204338984,0.0560887207128487,0.005411847045877357,,0.29125174608147747
b3,1,25,fRS585,fRS585,1.4088375759650837,0.006052452117073173,11.037690226604955,0.4933778085142612,0.06279820925660713,0.029682617576347856,,3.8875781857759053
b3,1,35,fRS585,fRS585,1.2792696594763815,0.004534591456628629,19.78674822334153,0.28497652013346897,0.035030878886014784,0.014139399788588233,,6.328146665454754
b3,1,38,fRS585,fRS585,1.35908918103736,0.0029720516091346666,20.749553743139064,0.2950968694256796,0.033405401828901386,0.011886252669730625,,7.050123500913389
