strain,evolution_history,r_tref,e,eh,th,topt,ctmax,rmax,b80,r2,n_obs
35_B2,35 evolved,0.49728741987901603,0.21347339531190532,27.395104494892664,314.23750170439786,39.58745874587459,42.02970297029703,0.9699991799128721,9.977997799779981,0.9869234546042389,15
35_B6,35 evolved,0.5067548605230565,0.2219395231265397,11.23566973448231,313.13556984559364,37.07920792079208,42.34323432343235,0.938358345320317,10.935093509350938,0.9871765803924861,15
35_B8,35 evolved,0.5563010461274515,0.17575012495521863,17.869195453066716,314.02004220206544,38.69086908690869,42.321232123212326,0.943095051096874,12.337733773377337,0.9667793562741028,15
35_C5,35 evolved,0.5257573155542904,0.19641892358175816,17.558389981989357,314.0557131620493,38.751375137513755,42.38723872387239,0.9495178159364361,11.281628162816283,0.9304896192189238,15
35_C7,35 evolved,0.5249619043281507,0.1964253516679719,18.453436611190806,314.1544446865041,38.92739273927393,42.41474147414742,0.952591551830283,11.210121012101212,0.9428720750489074,15
35_C9,35 evolved,0.4909331910079838,0.2053298649427254,27.385660888038977,314.1863153845607,39.52695269526953,41.98019801980198,0.9320691825566516,10.31353135313531,0.9563081964354249,15
35_D2,35 evolved,0.5528295994517364,0.17793846083277115,25.241858991994402,314.10199805768315,39.2959295929593,41.97469746974698,0.9583129579292926,11.754675467546754,0.9932954908769989,15
35_D4,35 evolved,0.5722871633762793,0.16592916184671003,18.11087240877403,313.93421481168866,38.60286028602861,42.211221122112214,0.9404591034599692,12.915291529152917,0.9722613111971135,15
35_D8,35 evolved,0.510837187272356,0.19678679378207353,22.767637704793717,314.17241430105446,39.26292629262927,42.161716171617165,0.9371134128913892,10.913091309130916,0.9362390004458615,15
35_E11,35 evolved,0.5439216963847833,0.18053276140890817,25.60373454353567,314.1892502786532,39.40594059405941,42.04620462046205,0.952801000089107,11.6006600660066,0.9889685811020807,15
35_E7,35 evolved,0.5326527278985813,0.18533179678261044,26.962669121460628,314.1279335903611,39.41694169416942,41.93069306930693,0.947694287363867,11.281628162816286,0.9377992529239322,15
35_E9,35 evolved,0.5298730841716914,0.19025531545279992,24.110503155553815,314.1068300601091,39.26292629262927,42.02970297029703,0.9531175136501829,11.155115511551156,0.9799661772177676,15
35_F2,35 evolved,0.52594975698592,0.1871559276300966,28.03708641120056,314.28293094879194,39.62046204620462,42.05170517051705,0.9456214077138426,11.149614961496152,0.9856138462870278,15
35_F4,35 evolved,0.5067812276153609,0.22969837160750206,13.024710289984059,313.6975124612986,37.95379537953796,42.579757975797584,0.9851096953514628,10.401540154015404,0.9780739975181211,15
35_F6,35 evolved,0.54558873632262,0.17628082106271425,22.243093550726105,313.93122094571817,38.94939493949395,41.94169416941694,0.9332290704927724,11.991199119911993,0.9735108565497771,15
35_G11,35 evolved,0.527899720775028,0.19105953296651565,16.537894919363232,313.9780971772152,38.558855885588564,42.403740374037405,0.9334025852288871,11.628162816281627,0.8978929213382592,15
35_G5,35 evolved,0.5687334615365393,0.17334571198338983,18.19960440103475,313.8557178761256,38.55335533553355,42.12871287128713,0.9546797170249425,12.442244224422446,0.9754408705307911,15
35_G9,35 evolved,0.5603783380505326,0.17283881663270415,22.093495781615704,313.9389769581431,38.93839383938394,41.95819581958196,0.9482947549512858,12.205720572057206,0.987175659810851,15
40_B2,40 evolved,0.49793407380404275,0.2302447960499893,11.629147737496417,314.75785168844726,38.76787678767877,43.910891089108915,0.9893612641570685,10.67106710671067,0.9060924041926316,15
40_B6,40 evolved,0.47254143779516855,0.20995283745524054,35.509842024377946,314.47352694408175,40.099009900990104,42.04620462046205,0.9248781534672126,9.884488448844884,0.9649421271699117,15
