strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_B2,35 evolved,1.9644187260621049,0.46068427102807613,23.258768054544117,313.85759869164775,39.29003885863781,41.84714581665209,8.146185842615536,5.4015401540154,0.9646928696735405,15
35_B6,35 evolved,1.900051707541712,0.5081312966610841,10.815909216242144,312.3227688412303,36.850937859496526,41.76217733153004,7.661294798157245,6.061606160616066,0.9452406599783143,15
35_B8,35 evolved,2.238017661146192,0.3919700397498878,14.635046397042654,313.5200939857125,38.30435011335425,42.211129622164115,7.096412432437832,6.74917491749175,0.9566308508178086,15
35_C5,35 evolved,2.2270753109512302,0.39437454429081115,14.891985199886408,313.61239824422887,38.42435789643941,42.27130036144322,7.155649815611521,6.6941694169416905,0.9236016334318574,15
35_C7,35 evolved,2.1245685576627777,0.42486124127575026,14.803259543197624,313.59298136484483,38.43980170236028,42.27183954273762,7.4751925790765865,6.342134213421346,0.9251398340274504,15
35_C9,35 evolved,2.0237615918552727,0.4160140780331944,24.962867247975794,313.91771466949353,39.386688259620165,41.821491485261326,7.355375472398397,5.786578657865782,0.944210166129474,15
35_D2,35 evolved,2.2900639112350283,0.3796780368342731,21.660433617364767,313.7300938594,39.011392755965836,41.796290863809354,7.293941543010671,6.375137513751376,0.9798283724885606,15
35_D4,35 evolved,2.2338665266112523,0.39777623917841926,15.535104034971024,313.32566683373284,38.20642922734385,41.9025840699852,7.1834341777601605,6.573157315731578,0.9849287737094047,15
35_D8,35 evolved,2.2615826250635958,0.38002167292593836,19.143808220565397,313.81285558041327,38.94374292773905,42.04818082958068,7.171859661985298,6.529152915291533,0.9054963979517071,15
35_E11,35 evolved,2.301587200188215,0.3751380570688977,23.63851233559652,313.94947710189354,39.32344437972961,41.91052611364076,7.342015943239578,6.34763476347635,0.9734182967566255,15
35_E7,35 evolved,2.0767058290660083,0.43010960010068855,23.985103099008118,313.79337869537113,39.233588120066,41.742820507136926,7.818038526270862,5.671067106710666,0.9284244004815019,15
35_E9,35 evolved,2.1792768284759014,0.4105338235033605,20.307802810660803,313.65993468273166,38.89809938036887,41.815398136652185,7.574304358042365,6.072607260726073,0.9821254894465516,15
35_F2,35 evolved,1.9067514508602965,0.46695360482380305,24.902251032647005,313.97058956480157,39.47635302925656,41.88272274195004,8.15633861565332,5.286028602860284,0.9108665364542792,15
35_F4,35 evolved,1.5661976338695567,0.5781578019621172,18.93197597703791,313.3439952990411,38.65627888951699,41.62586849547163,8.88307306338371,4.7579757975797605,0.8462769976895338,15
35_F6,35 evolved,1.982740483999431,0.45639152425061313,23.092951069065542,313.4678163864438,38.8928416347397,41.462600941296806,7.939583654328797,5.440044004400441,0.9639160351907613,15
35_G11,35 evolved,2.1931378419610668,0.3927648560829582,14.569967250267737,313.5786103517102,38.35675143532185,42.279352391410534,6.986711567738783,6.743674367436739,0.8988245470686298,15
35_G5,35 evolved,2.1852151393363433,0.4176783962161545,16.968844629980058,313.29983096633197,38.32637744865921,41.72620249589355,7.512047062153383,6.210121012101212,0.9731753353404251,15
35_G9,35 evolved,2.011635066062932,0.48135130199344783,10.504400167087203,312.5028602896435,36.939341713042936,42.01631364574137,7.5653419405852205,6.347634763476343,0.9592933086417426,15
40_B2,40 evolved,2.331688854526221,0.3785734210596327,12.96735406456023,314.3600865166667,38.925584566944075,43.31222913531073,7.285024917677105,7.161716171617158,0.9385115869931553,15
40_B6,40 evolved,2.4497535191307733,0.32411536310772276,48.901037007407716,314.5681207126508,40.54695531824911,41.94339009518319,7.045199201895288,6.5511551155115555,0.8060027191834418,15
40_B8,40 evolved,2.3456542847357054,0.35127826851470406,27.27714025831943,314.5086348744063,40.008469945094234,42.31716357464671,7.1660431185658835,6.567656765676567,0.9421168542761617,15
40_C5,40 evolved,2.516654081501809,0.315878831155211,27.690434731303572,314.3544400164229,39.838218053352456,42.14409607523085,6.827730981848725,7.15071507150715,0.9850341926890852,15
40_C7,40 evolved,2.6689021919863505,0.31885601008959213,24.562400711796226,314.2673676959428,39.62375991045609,42.18084275393121,7.239447730615061,7.216721672167218,0.925431785257322,15
40_C9,40 evolved,1.6840936361824212,0.5511471858972339,24.548272410102676,314.0818178492653,39.630449211009534,42.01969481688565,9.453536307452225,4.658965896589656,0.8405966773543165,15
40_D2,40 evolved,2.4089543891273397,0.3428706601060128,18.249112072626033,314.10960551497544,39.12746003183522,42.412172619083904,6.869501086068571,7.156215621562154,0.9824418093545254,15
40_D4,40 evolved,2.4346904368724873,0.35824915536103974,14.756235195306385,314.4458939318839,39.17750792168453,43.12189889696739,7.257914747655917,7.23872387238724,0.9092087333394859,15
40_D8,40 evolved,2.44516292981603,0.3544370266237442,29.006424171272553,314.21029136088896,39.77722509063617,41.958269653619816,7.478418971756366,6.446644664466447,0.9801976232508076,15
40_E11,40 evolved,2.445139377477071,0.37118907188381517,27.145182147823103,314.297457823775,39.811475358105696,42.11133049432672,7.888941018449847,6.276127612761272,0.9311399906780067,15
40_E7,40 evolved,2.25175555217073,0.39934607546170126,32.86663046396326,314.2731453971741,39.988311562663355,41.915565660670076,8.027516300282526,5.73707370737074,0.9925157338730349,15
40_E9,40 evolved,2.203317384383093,0.36942362667943374,27.762490763302793,314.2546585424543,39.79021540861404,42.0458925470279,7.064832440122071,6.270627062706275,0.9875493586274997,15
40_F2,40 evolved,2.6375299481626597,0.38847789699652324,27.770969131991496,314.3769233257591,39.92727229428274,42.170243664326726,9.0377584907809,6.023102310231025,0.5810797034427989,15
40_F4,40 evolved,2.5691738348790505,0.32192883234138586,18.86105817814435,314.41888624810116,39.44871486231849,42.67096090062071,6.961304512675378,7.48624862486249,0.9448644644888982,15
