well,block,test_temperature,strain,evolution_history,r,rk4,K,A,t_mid,r2,low_r2,fit_fail,neg_t_mid,r_at_bound
b10,3,25,40_F6,40 evolved,10.727917684577735,3.7680332713922056,1.4528743649734905,0.047929479235202674,0.5012640542099215,0.9975457940953834,FALSE,FALSE,FALSE,FALSE
b10,3,35,40_F6,40 evolved,18.41238445179456,6.140548340027238,1.392472368977796,0.05846843133380424,0.30290237330723924,0.9991481830597986,FALSE,FALSE,FALSE,FALSE
b10,3,38,40_F6,40 evolved,60,17.434319901828683,1.3042879934552454,0.142,0.3031202813019924,0.9722556094392714,FALSE,FALSE,FALSE,TRUE
b10,3,41,40_F6,40 evolved,19.093640362721587,5.612640419625451,1.2792206727738114,0.10340709024010727,0.3751338176982864,0.9985198470052241,FALSE,FALSE,FALSE,FALSE
b10,3,42,40_F6,40 evolved,2.362236245619859,0.5369689134392006,0.9092552270076579,0,0.9081912538819643,0.968833951561501,FALSE,FALSE,FALSE,FALSE
b11,1,25,35_G11,35 evolved,10.625490138989838,3.7959758299081288,1.476967755200671,0.04796042273741362,0.4906409745679288,0.9976473726896781,FALSE,FALSE,FALSE,FALSE
b11,1,35,35_G11,35 evolved,18.63988505594652,5.792678552218979,1.3075439063000918,0.06447217386556335,0.3018428052493924,0.9993342897815892,FALSE,FALSE,FALSE,FALSE
b11,1,38,35_G11,35 evolved,21.803105940644905,7.078131275689548,1.369709773305119,0.0711551004142918,0.2996775297301106,0.9997883422158045,FALSE,FALSE,FALSE,FALSE
b11,1,41,35_G11,35 evolved,15.539137275573689,4.795947251461594,1.3314326553936644,0.09688606084096728,0.4238306644789594,0.9979169690349103,FALSE,FALSE,FALSE,FALSE
b11,1,42,35_G11,35 evolved,22.03619063733108,0.8780012161305275,0.2458779284525557,0.08650351922174743,0.24166576524017608,0.9730694861835718,FALSE,FALSE,FALSE,FALSE
b11,2,25,35_D8,35 evolved,10.768132026384196,3.847242405546284,1.483885011919763,0.05476345355858078,0.5139364706526607,0.997732848544226,FALSE,FALSE,FALSE,FALSE
b11,2,35,35_D8,35 evolved,18.681112464091644,6.144470153836029,1.3799455364837263,0.06429152162850343,0.3109396905945117,0.9993074526157067,FALSE,FALSE,FALSE,FALSE
